FacilityID,HaulerReportID,QuarterYearID,FacilityName,EPAIDNumber,QuarterYear,PreparerFirstName,PreparerLastName,PreparerTitle,ReportComments,LubCollectionStationsGallons,LubIndustrialGallons,LubMarineGallons,LubAgriculturalGallons,LubGovernmentGallons,LubOutOfStateGallons,LubOtherHaulersGallons,LubTotalGallons,IndCollectionStationsGallons,IndIndustrialGallons,IndMarineGallons,IndAgriculturalGallons,IndGovernmentGallons,IndOutOfStateGallons,IndOtherHaulersGallons,IndTotalGallons,GrandTotalGallons,TotalLubTransferedGallons,TotalIndTransferedGallons,TotalTransferedGallons
354,2177,550,Copper State Petroleum,AZR000501346,October - December 2010,David,Emmett,VP/GM,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,2178,550,Crane's Waste Oil_ Inc.,CAD980813950,October - December 2010,Robin,Crane,Supervisor,,120125,51245,0,25260,11500,0,0,208130,0,8875,0,500,0,0,0,9375,217505,203225,9375,212600
169,2187,550,D & R Oil Company,CAL000253903,October - December 2010,Ruben,Hernandez,Owner,,33435,0,0,0,0,0,0,33435,0,0,0,0,0,0,0,0,33435,33435,0,33435
355,2188,550,DenBeste Transportation,CAD982513632,October - December 2010,Lori,Denbest,President,"NOTE on Hauler Report from Lori Denbest_ ""We do not transport used oil.""",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
268,2186,550,Desert Environmental Services_ Inc.,CAR000074542,October - December 2010,Fernando,Nieves,President,,0,13030,0,0,0,0,0,13030,0,0,0,0,0,0,0,0,13030,13030,0,13030
137,2192,550,Ecology Control Industries_ Inc.,CAD982030173,October - December 2010,Rod,Cleem,Project Mgr,,0,585,0,0,0,0,0,585,0,0,0,0,0,0,0,0,585,585,0,585
376,2194,550,Edgar's Mobile Lube,CAL000293019,October - December 2010,Edgar,Ocon,Owner,,2915,0,0,0,0,0,0,2915,0,0,0,0,0,0,0,0,2915,2915,0,2915
184,2191,550,EFR Environmental Services Inc.,CAR000011205,October - December 2010,Thad,Harris,CFO,,0,4660,0,6200,0,0,0,10860,0,0,0,0,0,0,0,0,10860,10860,0,10860
321,2193,550,Elite Oil Transport,CAR000190082,October - December 2010,Sonia,Salmeron,Controller,,0,0,0,0,0,0,515360,515360,0,0,0,0,0,0,0,0,515360,515360,0,515360
308,2189,550,Environmental Logistics,CAR000172460,October - December 2010,Wade,Riddering,Compliance,,3302,42216,150,0,9950,0,55618,111236,0,5831,0,500,150,0,6481,12962,124198,101993,11925,113918
347,2236,550,Espinoza Trucking_ Inc.,CAL000297859,October - December 2010,Mary,Quintero,Ops Mgr,,0,0,0,0,0,0,300122,300122,0,0,0,0,0,0,0,0,300122,0,0,0
29,2190,550,Evergreen Environmental Services (Newark),CAD982413262,October - December 2010,Albert,Farran,Lab Mgr,,4028270,69466,608,83699,164587,0,0,4346630,3800,62393,0,200,2320,0,0,68713,4415343,4346641,68702,4415343
30,2195,550,Express Environmental Corp._dba Express Oil,CAL000264806,October - December 2010,Sandra,Jacinto,Manager,,0,79007,0,0,0,0,0,79007,0,61905,0,0,0,0,0,61905,140912,79007,61965,140972
107,2196,550,Filter Recycling Services_ Inc.,CAD982444481,October - December 2010,Wade,Riddering,VP,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
257,2197,550,Fremouw Environmental Services,CAR000171017,October - December 2010,Phil,Fremouw,VP,,262705,12499,9106,18004,19803,0,0,322117,29190,4166,479,4501,1042,0,0,39378,361495,322117,39378,361495
379,2198,550,G & G Transportation,CAL000827858,October - December 2010,Tawnya,Gomes,Office Manager,,0,0,0,0,0,0,383400,383400,0,0,0,0,0,0,0,0,383400,383400,0,383400
304,2199,550,Glyco Environmental Services,CAL000309743,October - December 2010,Luciano,Quintero,Owner/Operator,,28800,0,0,0,0,0,0,28800,0,0,0,0,0,0,0,0,28800,28800,0,28800
397,2357,550,Golden Eagle Oil Refinery,UTD070534623,October - December 2010,Colleen,Wilson,Office Mgr,,0,0,0,0,0,0,402707,402707,0,0,0,0,0,0,0,0,402707,402707,0,402707
190,2200,550,Haz Mat Trans_ Inc.,CAT080012800,October - December 2010,Deva,McKnight,President,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
254,2254,550,Hazardous Technologies,CAR000168229,October - December 2010,Danette,Tice,Sales/Office,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
357,2201,550,IDR Environmental Services,CAD981377864,October - December 2010,Dawn,DeVroom,Controller,,0,642,0,0,70,0,0,712,0,385,0,0,55,0,0,440,1152,712,440,1152
333,2203,550,Industrial Waste Utilization,CAD980585293,October - December 2010,Casey,Franchini,Contract Svcs,,0,0,0,0,0,0,0,0,0,2640,0,0,4430,0,0,7070,7070,0,7070,7070
43,2202,550,Interstate Pumping Company,CAL000328860,October - December 2010,Gordon,Smith,Owner,,450,0,0,0,0,0,0,450,0,0,0,0,0,0,0,0,450,450,0,450
111,2206,550,J.B. Trans Services_Inc (dba) All Phase Env.,CAL000253361,October - December 2010,Anna,Calvert,Mgr,,373826,0,0,0,0,0,0,373826,0,0,0,0,0,0,0,0,373826,373826,0,373826
45,2240,550,Jack Stone Drainage Oil Service,CAD080075096,October - December 2010,Frank,Stone,Owner,,132110,10510,10410,0,5920,0,0,158950,0,5685,0,0,0,0,0,5685,164635,158950,5685,164635
359,2204,550,Johnson Machinery Company,CAD006910855,October - December 2010,Jerry,Welch,Admin,,0,582,0,0,163,0,0,745,0,0,0,0,0,0,0,0,745,745,0,745
358,2205,550,Johnson Power Systems,CAL000161534,October - December 2010,Jerry,Welch,Admin,,0,2810,0,0,195,0,0,3005,0,0,0,0,0,0,0,0,3005,3005,0,3005
116,2207,550,JSE Environmental Services,CAL000827857,October - December 2010,Greg,Pasqualetto,President,,14301,0,0,0,0,0,0,14301,0,0,0,0,0,0,0,0,14301,14301,0,14301
147,2209,550,Kern Oil Filter Recycling,CAL000327867,October - December 2010,Maria,Alvarez,Secretary,,152373,0,0,0,0,0,0,152373,0,0,0,0,0,0,0,0,152373,152373,0,152373
46,2208,550,Knight_ Jim_ Drain Oil Service,CAL000027718,October - December 2010,I,Katz,Office Mgr,,42014,18006,0,0,0,0,0,60020,0,0,0,0,0,0,0,0,60020,60020,0,60020
335,2210,550,Lee's Trucking_ Inc.,ARD981513385,October - December 2010,Kathy,Wood,Office Mgr,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
361,2212,550,Los Angeles Dept of Power & Water (LA DPW),CAD000632992,October - December 2010,Mark,Sedlacek,Director,,0,0,0,0,10293,0,0,10293,0,0,0,0,25500,0,0,25500,35793,10293,25500,35793
225,2213,550,Los Angeles Pumping,CAR000201459,October - December 2010,Nancy,Pena,General Mgr,,118855,0,0,0,0,0,0,118855,3300,0,0,0,0,0,0,3300,122155,118855,3300,122155
167,2211,550,Lowry_ George W._ Inc.,CAR000047019,October - December 2010,Deni,Wright,Office Mgr,,26650,3105,0,8810,8410,0,0,46975,0,4860,0,0,0,0,0,4860,51835,46975,4860,51835
362,2216,550,Marine Express_ Inc.,CAL000126290,October - December 2010,Troy,Esch,CDO,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
160,2219,550,Maximum Oil Service,CAL000188867,October - December 2010,Max,Maxwell,General Mgr,,66586,9450,891,1953,1715,0,0,80595,7344,3150,594,1302,190,0,0,12580,93175,80595,12580,93175
363,2215,550,Melfred Industrial Services,CAL000348567,October - December 2010,Fred,McDonald,President,,24015,9055,0,0,1030,0,0,34100,0,0,0,0,0,0,0,0,34100,34100,0,34100
364,2217,550,Miles Chemical Co,CAD983613688,October - December 2010,Mark,Glaser,General Mgr,,0,0,0,0,0,0,0,0,0,785,0,0,0,0,0,785,785,0,785,785
319,2218,550,Millenium Waste Oil_ Inc.,CAL000327031,October - December 2010,Tina,Pease,Office Mgr,,152525,5625,0,950,0,0,0,159100,0,0,0,0,0,0,0,0,159100,153475,5625,159100
314,2221,550,North State Environmental,CAR000206086,October - December 2010,John,Erickson,Ops Mgr,,0,1270,0,0,0,0,0,1270,0,0,0,0,0,0,0,0,1270,0,1270,1270
89,2220,550,North Valley Oil Company,CAL000027759,October - December 2010,Larry,Evans,President,,7355,0,0,0,0,0,0,7355,0,22356,0,0,0,0,0,22356,29711,29711,0,29711
82,2214,550,Nottingham_ M.C._ Co. of So. Cal,CAD059240713,October - December 2010,Virginia,Polzer,Secretary,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
365,2258,550,Ocean Blue Environmental Services,CAD983608258,October - December 2010,Julio,Gaeta,Dispatch,,0,3499,0,0,444,0,0,3943,0,1874,0,0,0,0,0,1874,5817,3943,1874,5817
340,2222,550,Pan Pacific Petroleum,CAL000142074,October - December 2010,Don,Stewart,,,0,0,0,0,0,0,957030,957030,0,0,0,0,0,0,0,0,957030,957030,0,957030
24,2228,550,Philip Services Corp.(Philip West Ind Svcs),CAD980584510,October - December 2010,Paul,DeWitt,Ops Mgr,,0,0,0,33000,0,0,0,33000,0,0,0,0,0,0,0,0,33000,33000,0,33000
269,2223,550,Philip West Industrial Services,CAR000177527,October - December 2010,Stephanie,Smith,Safety Mgr,,0,7497,0,0,0,0,0,7497,0,227191,0,0,0,0,0,227191,234688,7546,227191,234737
336,2225,550,Philip West Industrial Services,CAR000190355,October - December 2010,Stephanie,Smith,Safety Mgr,,0,172,0,0,0,0,0,172,0,14109,0,0,0,0,0,14109,14281,172,14109,14281
44,2224,550,PSC Environmental Services of Pomona LP,CAR000053405,October - December 2010,Craig,Erickson,EHS Mgr,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
380,2227,550,Quinn Company-Bakersfield,CAD118803717,October - December 2010,James,Holtz,ECM,,0,0,0,1259,0,0,0,1259,0,0,0,0,0,0,0,0,1259,1259,0,1259
381,2226,550,Quinn Company-Salinas,CAD050513217,October - December 2010,James,Holtz,ECM,,0,0,0,3418,0,0,0,3418,0,0,0,0,0,0,0,0,3418,3418,0,3418
60,2235,550,Ramos Environmental Services,CAD044003556,October - December 2010,Sally,Welch,Bookkeeper,,60230,42263,640,8433,7255,0,0,118821,21380,29552,0,2392,2065,0,0,55389,174210,118821,55389,174210
61,2231,550,RCA Oil Recovery,CAD981385149,October - December 2010,Rosendo,Arteaga,Owner,,51902,0,0,0,0,0,0,51902,0,165,0,0,0,0,0,165,52067,51902,165,52067
232,2233,550,Real Deal Waste Oil Service,CAL000280873,October - December 2010,Charles,Holyfield,Owner Mgr,,43386,0,0,0,0,0,0,43386,0,0,0,0,0,0,0,0,43386,43386,0,43386
235,2234,550,Recycle-It Environmental Services,CAL000280060,October - December 2010,Tom,Wooten,President,,122790,0,0,0,0,0,0,122790,0,0,0,0,0,0,0,0,122790,122790,0,122790
62,2232,550,Reno Drain Oil Service,NVD980893663,October - December 2010,Toni,Ralston,Bookkeeper,,11093,27732,8320,8320,13866,0,0,69331,0,0,0,0,0,0,0,0,69331,0,0,0
149,2230,550,Rho-Chem Corporation,CAD008364432,October - December 2010,Craig,Erickson,EHS Mgr,,0,9136,0,0,0,0,0,9136,0,5184,0,0,0,0,0,5184,14320,9136,5184,14320
348,2229,550,Rio Express Corporation,CAL000322668,October - December 2010,Joel,Olaguez,President,,0,0,0,0,0,0,681026,681026,0,0,0,0,0,0,0,0,681026,682026,0,682026
105,2237,550,Sacramento Waste Oil,CAL913534912,October - December 2010,Albert,Hernandez,Owner/SWO,,226981,3500,2900,500,0,0,0,233881,2000,1550,750,50,0,0,0,4350,238231,233881,4350,238231
220,2244,550,Safety-Kleen,TXR000050930,October - December 2010,Dan,Appelt,EHS Director,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
253,2239,550,San Fernando Oil,CAL000301304,October - December 2010,Jesus,Hernandez,Owner,,2090,0,0,0,0,103475,0,105565,0,0,0,0,0,0,0,0,105565,0,106065,106065
158,2243,550,San Joaquin Filter Recycling,CAL000102751,October - December 2010,Lynne,Loyd,Owner,,180530,0,0,16990,8590,0,0,206110,0,2720,0,0,0,0,0,2720,208830,206110,2720,208830
70,2238,550,Starlite Reclamation,CAR000148296,October - December 2010,Melissa,Mauki,Office Mgr,,33772,0,0,0,0,0,0,33772,0,0,0,0,0,0,0,0,33772,0,33772,33772
382,2242,550,Strategic Environmental Waste,CAL000326492,October - December 2010,Joseph,Madrigal,President,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
93,2241,550,Swift Oil & Vacuum_ Inc.,CAD982488470,October - December 2010,Richard,Rozuk,President,,49570,19495,0,0,0,0,0,69065,0,15590,0,0,0,0,0,15590,84655,69065,15590,84655
72,2245,550,Tadeo_ Ricardo D. Waste Oil Service,CAD981634363,October - December 2010,Ricardo,Tadeo,Owner/Operator,,189950,0,0,0,0,0,0,189950,0,1420,0,0,0,0,0,1420,191370,189950,1420,191370
188,2246,550,Thermo Fluids - Phoenix,AZR000003681,October - December 2010,Brian,Haney,EHS Mgr,,35858,19399,0,0,1037,0,0,56294,0,9405,0,0,0,0,0,9405,65699,55574,9405,64979
310,2248,550,UNI WASTE,CAL000317320,October - December 2010,Charles,Seaton,Consultant,,72381,0,0,0,11500,0,0,83881,0,29382,0,0,0,0,0,29382,113263,83861,29382,113243
142,2247,550,United Pumping,CAD072953771,October - December 2010,Lyndon,Garcia,H&S,,0,0,0,0,0,0,0,0,0,850,0,0,0,0,0,850,850,0,850,850
201,2249,550,Universal Waste Oil Company,CAL000183236,October - December 2010,Salvador,Salceda,Owner,,65585,0,0,0,0,0,0,65585,0,0,0,0,0,0,0,0,65585,65585,0,65585
243,2250,550,Western Environmental Services,CAR000159681,October - December 2010,Eva,Tice,Office Mgr,,0,10287,0,0,0,0,0,10287,0,0,0,0,0,0,0,0,10287,10287,0,10287
378,2251,550,Whittier Drum & Vacuum,CAD000626218,October - December 2010,Leo,Arzola,Dispatcher,,0,442,0,0,0,0,0,442,0,0,0,0,0,0,0,0,442,442,0,442
54,2130,549,Alarcon's_ Mark_ Waste Oil Service,CAD980814446,July - September 2010,Mark,Alarcon,Owner,,2215,14245,160,20,3770,0,0,20410,0,16025,0,0,540,0,0,16565,36975,20410,16565,36975
295,2082,549,Alexis Environmental,CAR000130864,July - September 2010,Tina,Vallejos,Office Mgr,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10413,24263,34676
135,2083,549,All Valley Environmental,CAL000263169,July - September 2010,Juanita,Schow,Office Mgr,,57963,0,0,0,0,0,0,57963,0,0,0,0,0,0,0,0,57963,57963,0,57963
214,2084,549,Alpha Oil Company,CAL000331370,July - September 2010,Donald,Brunner,President,,156002,0,0,0,0,0,0,156002,0,0,0,0,0,0,0,0,156002,160002,0,160002
256,2085,549,Amberwick Corporation,CAR000172189,July - September 2010,Lynn,McLenon,Office Mgr,,0,0,0,0,0,0,0,0,0,3617,0,0,0,0,0,3617,3617,0,3617,3617
14,2086,549,American Oil Company,CAD981427669,July - September 2010,Rochelle,Gomebly,Office Mgr,,293055,0,0,0,0,0,245255,538310,0,4115,0,0,0,0,0,4115,542425,542425,0,542425
162,2087,549,American Valley Waste Oil,CAL000827878,July - September 2010,Julie,Huber,Manager,,91000,15100,0,81000,0,0,0,187100,23000,16184,0,0,0,0,0,39184,226284,187100,39184,226284
16,2088,549,Asbury Environmental Services-Compton,CAD028277036,July - September 2010,Rosemary,Domino,Environmental Affairs,,7834192,482376,31528,143308,6306,59245,3600755,12157710,0,979370,64011,0,12802,0,0,1056183,13213893,0,0,0
165,2089,549,Bay Valley Environmental_ Inc.,CAL000162034,July - September 2010,Jake,Sagun,Bookkeeper,,41565,0,0,0,0,0,0,41565,0,1420,55,0,55,0,0,1530,43095,41565,1530,43095
39,2090,549,Bayside Oil II_ Inc.,CAD088838222,July - September 2010,Kim,Glen,,,104545,0,0,0,0,0,0,104545,0,7419,0,0,0,0,0,7419,111964,111964,0,111964
20,2091,549,Black Gold Industries,CAD983609678,July - September 2010,Victor,Villard,President,,0,0,0,0,11255,0,0,11255,0,0,0,0,0,0,0,0,11255,11255,0,11255
21,2092,549,Black Star Oil Company,CAL912823785,July - September 2010,I,Kaz,Office Mgr,,124404,31101,0,0,0,0,0,155505,0,0,0,0,0,0,0,0,155505,155505,0,155505
320,2093,549,Bulldog Oil of California LLC,CAL000338673,July - September 2010,Raymond,Ewing,Driver,,61970,0,0,12055,340,0,0,74365,0,0,0,0,0,0,0,0,74365,74365,0,74365
47,2095,549,Butler_ J.W._ Oil_ Inc.,CAD981426539,July - September 2010,Dennis,Butler,Facility Owner,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
352,2096,549,California Environmental & Litho,CAR000009910,July - September 2010,Shannon,Harvey,Bookkeeper,,0,1935,0,0,0,0,0,1935,0,115,0,0,0,0,0,115,2050,1935,115,2050
233,2097,549,Carrs Waste Oil Service,CAL000280677,July - September 2010,J Concepcion,Carrera,Owner,,51067,0,0,0,0,0,0,51067,0,0,0,0,0,0,0,0,51067,51067,0,51067
148,2098,549,Chain_ S.R._ Environmental Services,CAL000277184,July - September 2010,Joel,Chain,Office Mgr,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
307,2099,549,Clean Tech Environmental,CAL000330453,July - September 2010,Robert,Brown,President,,827998,0,0,0,0,0,0,827998,0,0,0,0,0,0,0,0,827998,827998,0,827998
252,2100,549,Cole's Services_ Inc.,CAL000268462,July - September 2010,Mary,Miller,Office Mgr,,55133,33481,0,0,4608,0,0,93222,0,0,0,0,0,0,0,0,93222,0,0,0
155,2101,549,Compliance Environmental Services,CAL000161247,July - September 2010,Patricia,Urbina,Treasurer,,124520,0,0,0,225,0,0,124745,0,0,0,0,0,0,0,0,124745,124745,0,124745
206,2102,549,Consultant Environmental Operations; C.E.O.,CAL000209884,July - September 2010,Francisco,Arrieta,Owner/Operator,,8650,5150,0,0,0,0,0,13800,3200,2605,0,0,0,0,0,5805,19605,13800,5805,19605
26,2103,549,Crane's Waste Oil_ Inc.,CAD980813950,July - September 2010,Robin,Crane,Office Mgr,,129300,60930,0,35820,13545,0,0,239595,0,12205,0,0,0,0,0,12205,251800,232045,12205,244250
169,2104,549,D & R Oil Company,CAL000253903,July - September 2010,Ruben,Hernandez,Owner,,40655,0,0,0,0,0,0,40655,0,0,0,0,0,0,0,0,40655,40655,0,40655
137,2105,549,Ecology Control Industries_ Inc.,CAD982030173,July - September 2010,Rod,Cleem,Project Mgr,,0,2035,0,0,0,0,0,2035,0,0,0,0,0,0,0,0,2035,2035,0,2035
376,2106,549,Edgar's Mobile Lube,CAL000293019,July - September 2010,Edgar,Ocon,Owner,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3175,0,3175
184,2107,549,EFR Environmental Services Inc.,CAR000011205,July - September 2010,Thad,Harris,CFO,,0,6275,0,5850,0,0,0,12125,0,0,0,0,0,0,0,0,12125,12125,0,12125
321,2108,549,Elite Oil Transport,CAR000190082,July - September 2010,Sonia,Salmeron,Controller,,0,0,0,0,0,0,1220825,1220825,0,0,0,0,0,0,0,0,1220825,0,0,0
308,2109,549,Environmental Logistics,CAR000172460,July - September 2010,Wade,Riddering,Regulatory Compliance,,5411,21099,250,0,16960,0,38571,82291,340,11296,223,0,760,0,11523,24142,106433,77132,23046,100178
347,2145,549,Espinoza Trucking_ Inc.,CAL000297859,July - September 2010,Mary,Quintero,Operations Mgr,,0,0,0,0,0,0,771704,771704,0,0,0,0,0,0,0,0,771704,771704,0,771704
29,2110,549,Evergreen Environmental Services (Newark),CAD982413262,July - September 2010,Albert,Farran,Lab Mgr,Outside California Oil (4550 gallons) is included in lines 8-12 and so not included (again) in the 'Total',3760783,82585,325,84775,169749,0,0,4098217,3000,69665,0,300,3075,0,0,76040,4174257,4098217,76040,4174257
30,2111,549,Express Environmental Corp._dba Express Oil,CAL000264806,July - September 2010,Sandra,Jacinto,Mgr,,0,91008,0,0,0,0,0,91008,0,44245,0,0,0,0,0,44245,135253,91008,44245,135253
107,2112,549,Filter Recycling Services_ Inc.,CAD982444481,July - September 2010,Wade,Riddering,VP,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
257,2113,549,Fremouw Environmental Services,CAR000171017,July - September 2010,Theodore,Fremouw,President/CEO,,291956,16804,6536,25569,20135,0,0,361000,32439,5601,344,6142,1060,0,0,45586,406586,360000,45586,405586
304,2115,549,Glyco Environmental Services,CAL000309743,July - September 2010,Luciano,Quintero,Owner/Operator,,36000,0,0,0,0,0,0,36000,0,0,0,0,0,0,0,0,36000,36000,0,36000
397,2356,549,Golden Eagle Oil Refinery,UTD070534623,July - September 2010,Colleen,Wilson,Office Mgr,,0,0,0,0,0,0,310797,310797,0,0,0,0,0,0,0,0,310797,310797,0,310797
190,2116,549,Haz Mat Trans_ Inc.,CAT080012800,July - September 2010,Deva,McKnight,President,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
356,2117,549,Hazardous Waste Transportation Services,CAR000129759,July - September 2010,Erin,Winett,,,0,6752,0,0,0,0,0,6752,0,2000,0,0,0,0,0,2000,8752,6752,2000,8752
333,2118,549,Industrial Waste Utilization,CAD980585293,July - September 2010,Casey,Franchini,Contracts,,0,0,0,0,0,0,0,0,0,1815,0,0,705,0,0,2520,2520,0,2520,2520
43,2119,549,Interstate Pumping Company,CAL000328860,July - September 2010,Gordon,Smith,Owner,,675,0,0,0,0,0,0,675,0,0,0,0,0,0,0,0,675,675,0,675
111,2121,549,J.B. Trans Services_Inc (dba) All Phase Env.,CAL000253361,July - September 2010,Anna,Calvert,Manager,,462121,0,0,0,0,0,0,462121,0,0,0,0,0,0,0,0,462121,809966,0,809966
45,2120,549,Jack Stone Drainage Oil Service,CAD080075096,July - September 2010,Frank,Stone,Owner,,151005,9510,8660,0,7110,0,0,176285,0,10445,0,0,0,0,0,10445,186730,176285,10445,186730
116,2123,549,JSE Environmental Services,CAL000827857,July - September 2010,Greg,Pasqualetto,President,,12861,0,0,0,0,0,0,12861,0,0,0,0,0,0,0,0,12861,12861,0,12861
147,2124,549,Kern Oil Filter Recycling,CAL000327867,July - September 2010,Maria,Alvarez,Secretary,,170592,0,0,0,0,0,0,170592,0,0,0,0,0,0,0,0,170592,170592,0,170592
360,2125,549,KM Industrial,CAL000274783,July - September 2010,Richard,Okuda,Division Mgr,,1140,0,0,0,0,0,0,1140,0,0,0,0,0,0,0,0,1140,1140,0,1140
46,2122,549,Knight_ Jim_ Drain Oil Service,CAL000027718,July - September 2010,I,Katz,Office Mgr,,45595,20485,0,0,0,0,0,66080,0,0,0,0,0,0,0,0,66080,66080,0,66080
335,2126,549,Lee's Trucking_ Inc.,ARD981513385,July - September 2010,Ronald,Lane,Safety Director,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
361,2127,549,Los Angeles Dept of Power & Water (LA DPW),CAD000632992,July - September 2010,Mark,Sedlacek,Environmental Director,,0,0,0,0,5450,0,0,5450,0,0,0,0,33850,0,0,33850,39300,5450,33850,39300
