CR_TxIn,CR_TxOut,CR_bal,EPAID,MD221_In,MD221_Out,MD221_x,MD222_In,MD222_Out,MD222_x,MD223_In,MD223_Out,MD223_x,Eval,Type,MDnet,CRnet
0,0,0,CAD981684420,0,0,1191,0,0,0,0,0,0,MD sink - CA - 1191 GAL,X-#-- ,1191,0
0,0,0,MOD981505555,0,0,1142,0,0,0,0,0,0,MD sink - MO - 1142 GAL,X-#-- ,1142,0
0,0,0,CAT080031352,0,0,1084,0,0,0,0,0,0,MD sink - CA - 1084 GAL,X-#-- ,1084,0
0,0,0,CAT080013353,0,0,969,0,0,0,0,0,0,MD sink - CA - 969 GAL,X-#-- ,969,0
0,0,0,CAD050808850,0,0,903,0,0,0,0,0,0,MD sink - CA - 903 GAL,X-#-- ,903,0
0,0,0,CA9170090016,0,0,854,0,0,0,0,0,0,MD sink - CA - 854 GAL,X-#-- ,854,0
0,0,0,CAL000190316,0,0,854,0,0,0,0,0,0,MD sink - CA - 854 GAL,X-#-- ,854,0
0,0,0,CAD044063556,0,0,843,0,0,0,0,0,0,MD sink - CA - 843 GAL,X-#-- ,843,0
0,0,0,CAD980888418,0,0,826,0,0,0,0,0,0,MD sink - CA - 826 GAL,X-#-- ,826,0
0,0,0,CAL000161749,0,0,717,0,0,0,0,0,0,MD sink - CA - 717 GAL,X-#-- ,717,0
0,0,0,LAD008187080,0,0,705,0,0,0,0,0,0,MD sink - LA - 705 GAL,X-#-- ,705,0
0,0,0,CAD98444481,0,0,684,0,0,0,0,0,0,MD sink - CA - 684 GAL,X-#-- ,684,0
0,0,0,ARD981057870,0,0,665,0,0,0,0,0,0,MD sink - AR,X-#-- ,665,0
0,0,0,CAD028409091,0,0,591,0,0,0,0,0,67,MD sink - CA - 658 GAL,X-#-- ,658,0
0,0,0,CAD446874,0,0,621,0,0,0,0,0,0,MD sink - CA - 621 GAL,X-#-- ,621,0
0,0,0,CAD028013352,0,0,292,0,0,0,0,0,312,MD sink - CA - 604 GAL,X-#-- ,604,0
0,0,0,TND982109142,0,0,582,0,0,0,0,0,0,MD sink - TN - 582 GAL,X-#-- ,582,0
0,0,0,CAT080013350,0,0,580,0,0,0,0,0,0,MD sink - CA - 580 GAL,X-#-- ,580,0
0,0,0,UTD988074712,0,0,245,0,0,0,0,0,326,MD sink - UT - 571 GAL,X-#-- ,571,0
0,0,0,CAT080027711,0,0,569,0,0,0,0,0,0,MD sink - CA - 569 GAL,X-#-- ,569,0
0,0,0,TXD077603371,0,0,461,0,0,60,0,0,46,MD sink - TX - 567 GAL,X-#-- ,567,0
0,0,0,CAD028403019,0,0,558,0,0,0,0,0,0,MD sink - CA - 558 GAL,X-#-- ,558,0
0,0,0,CAL000161748,0,0,495,0,0,0,0,0,0,MD sink - CA - 495 GAL,X-#-- ,495,0
0,0,0,UTD991301748,0,0,60,0,0,0,0,0,404,MD sink - UT - 464 GAL,X-#-- ,464,0
0,0,0,CAD09945270,0,0,454,0,0,0,0,0,0,MD sink - CA - 454 GAL,X-#-- ,454,0
0,0,0,UT0981552177,0,0,454,0,0,0,0,0,0,MD sink - UT - 454 GAL,X-#-- ,454,0
0,0,0,CAT000613893,101,196,481,0,0,30,0,0,0,Safety Kleen el monte; 600 gal 170 to DK; CR 0; minor.,XX#-- ,416,0
0,0,0,CAD009007626,0,0,380,0,0,0,0,0,0,MD sink - CA - 380 GAL,X-#-- ,380,0
0,0,0,CAL088838222,0,0,3332,0,0,0,0,0,0,3.3k in 3.0k out to bayside oil. just a hauler. CR 0,XX#-- ,370,0
0,0,0,CAD982444482,0,0,366,0,0,0,0,0,0,MD sink - CA - 366 GAL,X-#-- ,366,0
0,0,0,CAD980887413,0,0,358,0,0,0,0,0,0,MD sink - CA - 358 GAL,X-#-- ,358,0
0,0,0,CAR000161743,0,0,353,0,0,0,0,0,0,MD sink - CA - 353 GAL,X-#-- ,353,0
0,0,0,FLD980711071,0,0,246,0,0,0,0,0,104,MD sink - FL - 350 GAL,X-#-- ,350,0
0,0,0,CAT080013322,0,0,317,0,0,0,0,0,0,MD sink - CA - 317 GAL,X-#-- ,317,0
0,0,0,CAD008302939,0,0,284,0,0,0,0,0,0,MD sink - CA - 284 GAL,X-#-- ,284,0
0,0,0,CAL000255507,0,0,284,0,0,0,0,0,0,MD sink - CA - 284 GAL,X-#-- ,284,0
0,0,0,CAD0,0,0,254,0,0,0,0,0,0,MD sink - CA - 254 GAL,X-#-- ,254,0
0,0,0,CAT080033618,0,0,249,0,0,0,0,0,0,MD sink - CA - 249 GAL,X-#-- ,249,0
0,0,0,CHD981426539,0,0,227,0,0,0,0,0,0,MD sink - CH - 227 GAL,X-#-- ,227,0
0,0,0,CAL981694420,0,0,197,0,0,0,0,0,0,MD sink - CA - 197 GAL,X-#-- ,197,0
0,0,0,CA0000190816,0,0,169,0,0,0,0,0,0,MD sink - CA - 169 GAL,X-#-- ,169,0
0,0,0,TXD008092793,0,0,167,0,0,0,0,0,0,MD sink - TX - 167 GAL,X-#-- ,167,0
0,0,0,CAD982444981,0,0,158,0,0,0,0,0,0,MD sink - CA - 158 GAL,X-#-- ,158,0
0,0,0,CAD982448874,0,0,138,0,0,0,0,0,0,MD sink - CA - 138 GAL,X-#-- ,138,0
0,0,0,CAD000190816,0,0,136,0,0,0,0,0,0,MD sink - CA - 136 GAL,X-#-- ,136,0
0,0,0,CAT981426539,0,0,136,0,0,0,0,0,0,MD sink - CA - 136 GAL,X-#-- ,136,0
0,0,0,NED981723518,0,0,128,0,0,0,0,0,2,MD sink - NE - 130 GAL,X-#-- ,130,0
0,0,0,CAD000013352,0,0,123,0,0,0,0,0,0,MD sink - CA - 123 GAL,X-#-- ,123,0
0,0,0,CAR000190816,0,0,123,0,0,0,0,0,0,MD sink - CA - 123 GAL,X-#-- ,123,0
0,0,0,CAT981692428,0,0,120,0,0,0,0,0,0,MD sink - CA - 120 GAL,X-#-- ,120,0
0,0,0,CAT981696428,0,0,60,0,0,0,0,0,60,MD sink - CA - 120 GAL,X-#-- ,120,0
0,0,0,CAD000945265,0,0,109,0,0,0,0,0,5,MD sink - CA - 114 GAL,X-#-- ,114,0
0,0,0,CAD080033681,0,0,60,0,0,0,0,0,54,MD sink - CA - 114 GAL,X-#-- ,114,0
0,0,0,CAD008232405,0,0,112,0,0,0,0,0,0,MD sink - CA - 112 GAL,X-#-- ,112,0
0,0,0,KYD053348105,0,0,82,0,0,0,0,0,0,MD sink - KY - 82 GAL,X-#-- ,82,0
0,0,0,CAD05806850,0,0,60,0,0,0,0,0,0,MD sink - CA - 60 GAL,X-#-- ,60,0
0,0,0,CAT000625136,0,0,60,0,0,0,0,0,0,MD sink - CA - 60 GAL,X-#-- ,60,0
0,0,0,CAT08001335,0,0,60,0,0,0,0,0,0,MD sink - CA - 60 GAL,X-#-- ,60,0
0,0,0,WAD020257945,0,0,60,0,0,0,0,0,0,MD sink - WA - 60 GAL,X-#-- ,60,0
0,0,0,IND093219012,0,0,57,0,0,0,0,0,0,MD sink - IN - 57 GAL,X-#-- ,57,0
0,0,0,NVR000076158,0,0,57,0,0,0,0,0,0,MD sink - NV - 57 GAL,X-#-- ,57,0
0,0,0,CAD028409109,0,0,54,0,0,0,0,0,0,MD sink - CA - 54 GAL,X-#-- ,54,0
0,0,0,CAD028400010,0,0,49,0,0,0,0,0,0,MD sink - CA - 49 GAL,X-#-- ,49,0
0,0,0,CAD060897063,0,0,35,0,0,0,0,0,0,MD sink - CA - 35 GAL,X-#-- ,35,0
0,0,0,UTD981552170,0,0,32,0,0,0,0,0,0,MD sink - UT - 32 GAL,X-#-- ,32,0
0,0,0,CAD008302901,0,0,30,0,0,0,0,0,0,MD sink - CA - 30 GAL,X-#-- ,30,0
0,0,0,CAD982444487,0,0,27,0,0,0,0,0,0,MD sink - CA - 27 GAL,X-#-- ,27,0
0,0,0,CAL000124158,0,0,27,0,0,0,0,0,0,MD sink - CA - 27 GAL,X-#-- ,27,0
0,0,0,CAD050806950,0,0,21,0,0,0,0,0,0,MD sink - CA - 21 GAL,X-#-- ,21,0
0,0,0,CAD009004626,0,0,13,0,0,0,0,0,0,MD sink - CA - 13 GAL,X-#-- ,13,0
0,0,0,CAD028209109,0,0,10,0,0,0,0,0,0,MD sink - CA - 10 GAL,X-#-- ,10,0
0,0,0,TXD077603871,0,0,10,0,0,0,0,0,0,MD sink - TX - 10 GAL,X-#-- ,10,0
0,0,255355,NVD980893663,0,0,280782,0,0,0,0,0,0,Reno drain oil; MD 281k self txfr; CR 255k self txfr; assume RFO,XX XX ,0,0
0,0,0,CAL000233905,0,0,2853,0,0,0,0,0,0,EOPT 2.8k self txfr. presume RFO.,XX -- ,0,0
101900,0,101900,AZR000033881,0,0,0,0,0,0,0,0,0,AZ CR major sink 100k; MD 0,-- X-#,0,101900
0,13075,0,CAD053866794,0,0,0,0,0,0,0,0,0,CR hauler 13k to DK,-- XX+,0,-13062
2924053,0,2924053,CAL000190818,0,0,0,0,0,0,0,0,0,PB collision NO MD! CR 2.9 Mgal in no out. don't know what to make of this,-- X-#,0,2924053
0,29087,0,CAR000056580,0,0,0,0,0,0,0,0,0,Adv Indust Recyc. No MD! CR Gen 29k; 26k EES; 3k DK,-- XX+,0,-25087
0,538249,2752,MAD039322250,0,0,0,0,0,0,0,0,0,Clean Harb ES. No MD! CR gen 538k; 278k Cl Harb L.A.; 147k DK; 60k UT,-- XX+,0,-538249
150,0,150,MAD053452637,0,0,0,0,0,0,0,0,0,No MD! CR sink MA 150 gal,-- X-#,0,150
500,0,500,NED981723613,0,0,0,0,0,0,0,0,0,No MD! CR sink NE - 500 gal,-- X-#,0,500
2000,0,2000,TXD982290140,0,0,0,0,0,0,0,0,0,safety kleen TX; No MD! CR sink TX - 2000 gal,-- X-#,0,2000
114613,0,114613,UDT981552177,0,0,0,0,0,0,0,0,0,No MD! CR sink UT - 115k gal - check for str_nearest EPAID,-- X-#,0,114613
0,0,0,CAD982513699,0,342,284,0,0,0,0,0,0,environ dynamics. 284 in 342 out clean harbors. CR 0\,XX+-- ,-58,0
0,0,0,CAT000613976,0,364,317,0,0,0,0,0,0,safety kleen - 240 gal DK 115 SK 43 EES. minor.,XX+-- ,-90,0
0,0,0,CAD983664210,0,0,112,0,0,0,0,0,0,hoist fitness sys generator; 1.6k to DK; CR 0,XX+-- ,-1514,0
0,0,0,CAL000027724,0,2165,435,0,0,0,0,0,0,EES pomona - 2.1k to ev; CR 0,XX+-- ,-1730,0
0,0,0,CA0000084517,0,0,89,0,0,0,67,5079,408,Safety-Kleen Sac aggregator MD +4.5k to CAD980675276; CR 0,XX+-- ,-4515,0
0,0,0,CAD000633230,0,84,1166,0,0,0,0,19,112,Raytheon El Segundo; 6k 222 to DK; CR 0,XX+-- ,-5035,0
